symbol,exchange,reason
AKI.NS,NSE,not_found_on_yahoo
EVANS.BO,BSE,not_found_on_yahoo
INCAP.BO,BSE,not_found_on_yahoo
AKI.BO,BSE,not_found_on_yahoo
SSTL.BO,BSE,not_found_on_yahoo
B2BSOFT.BO,BSE,not_found_on_yahoo
EMAINDIA.BO,BSE,not_found_on_yahoo
GOLDENTOBC.NS,NSE,not_found_on_yahoo
SEACOAST.BO,BSE,not_found_on_yahoo
DESTINY.NS,NSE,not_found_on_yahoo
GOLDENTOBC.BO,BSE,not_found_on_yahoo
ORIBEVER.BO,BSE,not_found_on_yahoo
TNTELE.NS,NSE,not_found_on_yahoo
TNTELE.BO,BSE,not_found_on_yahoo
RRETAIL.BO,BSE,not_found_on_yahoo
MANJEERA.BO,BSE,not_found_on_yahoo
INDIAHOME.BO,BSE,not_found_on_yahoo
PCS.BO,BSE,not_found_on_yahoo
SMAUTO.BO,BSE,not_found_on_yahoo
JMJFIN.BO,BSE,not_found_on_yahoo
MSRINDIA.BO,BSE,not_found_on_yahoo
GOEL.BO,BSE,not_found_on_yahoo
TCMLMTD.BO,BSE,not_found_on_yahoo
TRANSVOY.BO,BSE,not_found_on_yahoo
TREEHOUSE.BO,BSE,not_found_on_yahoo
ABCINDQ.BO,BSE,not_found_on_yahoo
LIPPISYS.BO,BSE,not_found_on_yahoo
SILVOAK.BO,BSE,not_found_on_yahoo
TREEHOUSE.NS,NSE,not_found_on_yahoo
JOHNPHARMA.BO,BSE,not_found_on_yahoo
OLIL.NS,NSE,not_found_on_yahoo
EASTSILK.NS,NSE,not_found_on_yahoo
INFOMEDIA.BO,BSE,not_found_on_yahoo
INFOMEDIA.NS,NSE,not_found_on_yahoo
EASTSILK.BO,BSE,not_found_on_yahoo
SOUTHMG.BO,BSE,not_found_on_yahoo
INDIANVSH.BO,BSE,not_found_on_yahoo
AHASOLAR.BO,BSE,not_found_on_yahoo
INDCEMCAP.BO,BSE,not_found_on_yahoo
POOJA.BO,BSE,not_found_on_yahoo
VISAGAR.BO,BSE,not_found_on_yahoo
MEDIAONE.BO,BSE,not_found_on_yahoo
SOUTLAT.BO,BSE,not_found_on_yahoo
RAP.BO,BSE,not_found_on_yahoo
BESTEAST.BO,BSE,not_found_on_yahoo
ASRL.BO,BSE,not_found_on_yahoo
TECHIN.NS,NSE,not_found_on_yahoo
GTECJAINX.NS,NSE,not_found_on_yahoo
EKENNIS.BO,BSE,not_found_on_yahoo
HOTLSILV.BO,BSE,not_found_on_yahoo
SBECSYS.BO,BSE,not_found_on_yahoo
STLSTRINF.BO,BSE,not_found_on_yahoo
VIVIDHA.BO,BSE,not_found_on_yahoo
VIVIDHA.NS,NSE,not_found_on_yahoo
UMESLTD.NS,NSE,not_found_on_yahoo
JETSOLAR.BO,BSE,not_found_on_yahoo
UMESLTD.BO,BSE,not_found_on_yahoo
BHARAT.BO,BSE,not_found_on_yahoo
